#WAVENUMBER	 TRANSMITTANCE
#cm^(-1)	 %
#DECIMALSYMBOL	 .
842.3485	 -0.0161
842.8307	 0.0078
843.3128	 0.0280
843.7950	 0.0264
844.2772	 0.0025
844.7594	 -0.0135
845.2415	 -0.0128
845.7237	 -0.0132
846.2059	 0.0003
846.6880	 0.0244
847.1702	 0.0089
847.6524	 -0.0138
848.1345	 0.0098
848.6167	 0.0211
849.0989	 -0.0043
849.5810	 0.0059
850.0632	 0.0305
850.5454	 0.0211
851.0275	 -0.0007
851.5097	 -0.0189
851.9919	 -0.0143
852.4740	 -0.0019
852.9562	 0.0023
853.4384	 -0.0031
853.9206	 -0.0035
854.4027	 0.0054
854.8849	 0.0011
855.3671	 0.0108
855.8492	 0.0275
856.3314	 0.0264
856.8136	 0.0300
857.2957	 0.0369
857.7779	 0.0356
858.2601	 0.0182
858.7422	 0.0029
859.2244	 0.0130
859.7066	 0.0161
860.1887	 0.0124
860.6709	 0.0243
861.1531	 0.0384
861.6353	 0.0379
862.1174	 0.0283
862.5996	 0.0119
863.0818	 -0.0129
863.5639	 -0.0125
864.0461	 0.0053
864.5283	 0.0041
865.0104	 -0.0024
865.4926	 0.0144
865.9748	 0.0375
866.4569	 0.0449
866.9391	 0.0350
867.4213	 0.0244
867.9034	 0.0380
868.3856	 0.0424
868.8678	 0.0310
869.3499	 0.0277
869.8321	 0.0207
870.3143	 0.0288
870.7965	 0.0529
871.2786	 0.0537
871.7608	 0.0337
872.2430	 0.0166
872.7251	 0.0163
873.2073	 0.0270
873.6895	 0.0209
874.1716	 -0.0129
874.6538	 -0.0408
875.1360	 -0.0254
875.6181	 0.0112
876.1003	 0.0289
876.5825	 0.0196
877.0646	 0.0282
877.5468	 0.0520
878.0290	 0.0364
878.5112	 0.0141
878.9933	 -0.0003
879.4755	 -0.0014
879.9577	 0.0160
880.4398	 0.0240
880.9220	 0.0215
881.4042	 0.0108
881.8863	 -0.0017
882.3685	 -0.0159
882.8507	 -0.0159
883.3328	 0.0059
883.8150	 0.0270
884.2972	 0.0338
884.7793	 0.0289
885.2615	 0.0150
885.7437	 0.0169
886.2258	 0.0347
886.7080	 0.0415
887.1902	 0.0418
887.6724	 0.0444
888.1545	 0.0408
888.6367	 0.0330
889.1189	 0.0302
889.6010	 0.0297
890.0832	 0.0264
890.5654	 0.0148
891.0475	 0.0224
891.5297	 0.0411
892.0119	 0.0432
892.4940	 0.0377
